kernel,D,L,time_ms,throughput_GB_s
sequential,1,1024,0.0038,3.219
sequential,16,1024,0.0082,24.050
sequential,64,1024,0.0333,23.587
sequential,256,1024,0.1346,23.366
sequential,512,1024,0.2730,23.047
sequential,1,2048,0.0076,3.219
sequential,16,2048,0.0165,23.873
sequential,64,2048,0.0669,23.520
sequential,256,2048,0.4275,14.718
sequential,512,2048,0.5684,22.137
sequential,1,4096,0.0155,3.169
sequential,16,4096,0.0341,23.033
sequential,64,4096,0.1506,20.886
sequential,256,4096,1.1617,10.831
sequential,512,4096,1.0991,22.898
sequential,1,8192,0.0308,3.191
sequential,16,8192,0.0674,23.348
sequential,64,8192,0.2916,21.576
sequential,256,8192,1.1980,21.006
sequential,512,8192,2.1819,23.067
sequential,1,16384,0.0608,3.232
sequential,16,16384,0.1338,23.502
sequential,64,16384,0.5516,22.812
sequential,256,16384,2.2089,22.786
sequential,512,16384,5.3647,18.764
sequential,1,32768,0.1217,3.231
sequential,16,32768,0.2718,23.144
sequential,64,32768,1.1387,22.101
sequential,256,32768,5.2808,19.062
sequential,512,32768,11.0500,18.220
sequential,1,65536,0.2434,3.232
sequential,16,65536,0.5670,22.191
sequential,64,65536,2.2263,22.607
sequential,256,65536,10.7787,18.678
sequential,512,65536,26.3779,15.265
sequential,1,131072,0.4991,3.152
sequential,16,131072,1.0978,22.923
sequential,64,131072,5.5615,18.100
sequential,256,131072,24.4788,16.449
sequential,512,131072,41.8337,19.250
